"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","group","rt","stimulus","response","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","name","place_id","lat","lng","culture","loc1","loc2","loct","address","loc_id_prev","angle","loc_id"
"trial","survey","44","784277","0.0-2.0-42.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","17090","","{""P0_Q0"":null,""ambiguous"":3,""objects"":4,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Toshima Minami-Nagasaki Post Office (jp_tok-c_pos_a_4)","ChIJW9I5jqnyGGAR4LJcH4_S0to","35.725497","139.6854672","JP","TOK","CTR","POS","4-chōme-29-3 Minaminagasaki, Toshima City, Tokyo 171-0052, Japan","jp_tok-c_pos_b_4","270","jp_tok-c_pos_b_4_270"
"trial","survey","45","804985","0.0-2.0-43.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","20692","","{""P0_Q0"":null,""ambiguous"":4,""objects"":5,""invisible"":5,""chaos"":5}","","","","","","","","","","","","","","","","","[]","Adachi Asahicho Post Office","ChIJwzPq-E2OGGAR94jgKLnB1pg","35.7492042","139.8090847","JP","TOK","PER","POS","27-13 Senjuasahichō, Adachi City, Tokyo 120-0026, Japan","jp_tok-p_pos_a_4","270","jp_tok-p_pos_a_4_270"
"trial","survey","46","818496","0.0-2.0-44.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","13491","","{""P0_Q0"":null,""ambiguous"":3,""objects"":5,""invisible"":5,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Nearby location of United States Postal Service (us_nyc-c_pos_a_6)","ChIJ63f0hz9ZwokRTruThu3Ng6s","40.7682731","-73.9822808","US","NYC","CTR","POS","15 Columbus Cir, New York, NY 10019, USA","us_nyc-c_pos_b_6","180","us_nyc-c_pos_b_6_180"
"trial","survey","47","852287","0.0-2.0-45.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","33758","","{""P0_Q0"":null,""ambiguous"":3,""objects"":2,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of United States Postal Service (us_nyc-p_pos_a_5)","ChIJAxFT_p70wokRYeihFIw0wFU","40.8546215","-73.8685765","US","NYC","PER","POS","625 Lydig Ave, Bronx, NY 10462, USA","us_nyc-p_pos_b_5","90","us_nyc-p_pos_b_5_90"
"trial","survey","48","867450","0.0-2.0-46.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","15137","","{""P0_Q0"":null,""ambiguous"":2,""objects"":5,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","The Williamsburg Hotel","WVNYCTWH","40.72173","-73.95801","US","NYC","PER","HTL","96 WYTHE AVENUE, BROOKLYN, NY 11249","us_nyc-p_htl_a_high1","270","us_nyc-p_htl_a_high1_270"
"trial","survey","49","887764","0.0-2.0-47.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","20293","","{""P0_Q0"":null,""ambiguous"":1,""objects"":2,""invisible"":4,""chaos"":1}","","","","","","","","","","","","","","","","","[]","United States Postal Service","ChIJZSVRGDq7PIgRlo_a8I0Tib8","42.1718067","-83.7735227","US","ARB","ARB","POS","108 N Maple Rd, Saline, MI 48176, USA","us_arb_pos_a_1","270","us_arb_pos_a_1_270"
"trial","survey","50","908008","0.0-2.0-48.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","20225","","{""P0_Q0"":null,""ambiguous"":2,""objects"":2,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of The Pearl NYC (us_nyc-c_htl_a_high1)","ChIJH25PJ-dZwokRj_-5BHZLdE0","40.7600987","-73.9843757","US","NYC","CTR","HTL","1596 Broadway, New York, NY 10019, USA","us_nyc-c_htl_b_high1","0","us_nyc-c_htl_b_high1_0"
"trial","survey","51","926073","0.0-2.0-49.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","18046","","{""P0_Q0"":null,""ambiguous"":4,""objects"":2,""invisible"":5,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Toshima Minami-Nagasaki Post Office","ChIJjbRx2KnyGGARYqMHBr_HSX0","35.7264975","139.6842311","JP","TOK","CTR","POS","4-chōme-27-5 Minaminagasaki, Toshima City, Tokyo 171-0052, Japan","jp_tok-c_pos_a_4","270","jp_tok-c_pos_a_4_270"
"trial","survey","52","955241","0.0-2.0-50.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","29151","","{""P0_Q0"":null,""ambiguous"":2,""objects"":2,""invisible"":1,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Jittered SV for Nearby location of 須賀谷温泉 (jp_tor_htl_a_high1) (jp_tor_htl_b_high1)","GhIJIiaXtQO6QUARjDUSVwQJYUA","35.4532382","136.2817798","JP","TOR","TOR","HTL","F73J+7P Nagahama, Shiga, Japan","jp_tor_htl_b_high1","0","jp_tor_htl_b_high1_0"
"trial","survey","53","970752","0.0-2.0-51.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","15493","","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":5,""chaos"":1}","","","","","","","","","","","","","","","","","[]","HOTEL K5","DSTYOKHO","35.68271","139.77801","JP","TOK","CTR","HTL","3-5 NIHOMBASHI KABUTOCHO, TOKYO 103-0026","jp_tok-c_htl_a_mid1","0","jp_tok-c_htl_a_mid1_0"
"trial","survey","54","986115","0.0-2.0-52.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","15333","","{""P0_Q0"":null,""ambiguous"":2,""objects"":5,""invisible"":4,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Katsushika City Iizuka Elementary School","ChIJXWuTk2CFGGARG2Rud6f0E18","35.7767025","139.8582864","JP","TOK","PER","SCH","1-chōme-13-1 Minamimizumoto, Katsushika City, Tokyo 125-0035, Japan","jp_tok-p_sch_a_3","180","jp_tok-p_sch_a_3_180"
"trial","survey","55","1005128","0.0-2.0-53.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","18989","","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":3,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of Quality Inn and Suites Ann Arbor Hwy 23 (us_arb_htl_a_mid2)","ChIJUf9k3i2vPIgRY6-MziLWsGc","42.25094","-83.682429","US","ARB","ARB","HTL","2525 Gross Rd, Ann Arbor, MI 48108, USA","us_arb_htl_b_mid2","90","us_arb_htl_b_mid2_90"
"trial","survey","56","1029634","0.0-2.0-54.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","24489","","{""P0_Q0"":null,""ambiguous"":3,""objects"":2,""invisible"":2,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of United States Postal Service (us_arb_pos_a_1)","ChIJyxaGSDe7PIgRdsmUdk5LYuo","42.1703237","-83.7718728","US","ARB","ARB","POS","450 E Michigan Ave, Saline, MI 48176, USA","us_arb_pos_b_1","180","us_arb_pos_b_1_180"
"trial","survey","57","1052588","0.0-2.0-55.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","22937","","{""P0_Q0"":null,""ambiguous"":3,""objects"":3,""invisible"":4,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Ann Arbor Christian School","ChIJ1SluE2-tPIgR2t57M0S5d6M","42.354132","-83.750108","US","ARB","ARB","SCH","5500 Whitmore Lake Rd, Ann Arbor, MI 48105, USA","us_arb_sch_a_2","180","us_arb_sch_a_2_180"
"trial","survey","58","1071463","0.0-2.0-56.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","18856","","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":5,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of Jingūmae 6 Post Office (jp_tok-c_pos_a_2)","ChIJo2FXfqaMGGARaHWKnjoqihY","35.665387","139.7037685","JP","TOK","CTR","POS","6-chōme-16-6 Jingūmae, Shibuya City, Tokyo 150-0001, Japan","jp_tok-c_pos_b_2","0","jp_tok-c_pos_b_2_0"
"trial","survey","59","1088662","0.0-2.0-57.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","17181","","{""P0_Q0"":null,""ambiguous"":3,""objects"":2,""invisible"":4,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of Ann Arbor Christian School (us_arb_sch_a_2)","ChIJx979uW-tPIgRK2esjhwtDDE","42.352939","-83.7497999","US","ARB","ARB","SCH","5460 Whitmore Lake Rd, Ann Arbor, MI 48105, USA","us_arb_sch_b_2","90","us_arb_sch_b_2_90"
"trial","survey","60","1112337","0.0-2.0-58.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","23659","","{""P0_Q0"":null,""ambiguous"":4,""objects"":4,""invisible"":5,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Kakezuka Elementary School","ChIJLYvCVhSLGGARQZ0PUiBKWkg","35.6443992","139.714528","JP","TOK","CTR","SCH","4-chōme-21-10 Ebisu, Shibuya City, Tokyo 150-0013, Japan","jp_tok-c_sch_a_4","270","jp_tok-c_sch_a_4_270"
"trial","survey","61","1130286","0.0-2.0-59.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","17919","","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Jittered SV for Aman Tokyo (jp_tok-c_htl_a_ultra1)","ChIJVVWFvviLGGARpWS-yu8uP1k","35.6853286","139.7666855","JP","TOK","CTR","HTL","2-chōme-2-1 Ōtemachi, Chiyoda City, Tokyo 100-0004, Japan","jp_tok-c_htl_a_ultra1","90","jp_tok-c_htl_a_ultra1_90"
"trial","survey","62","1151819","0.0-2.0-60.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","21508","","{""P0_Q0"":null,""ambiguous"":3,""objects"":4,""invisible"":5,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Nearby location of Ōmori Bellport Post Office (jp_hik_pos_a_2)","ChIJ7Ywa2cxhGGARziYl93kj-_E","35.5874802","139.7328359","JP","HIK","HIK","POS","3-chōme-35-8 Minamiōi, Shinagawa City, Tokyo 140-0013, Japan","jp_hik_pos_b_2","180","jp_hik_pos_b_2_180"
"trial","survey","63","1201841","0.0-2.0-61.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","50004","","{""P0_Q0"":null,""ambiguous"":2,""objects"":5,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Success Academy Harlem 5 (us_nyc-c_sch_a_2)","ChIJT3PK4nr2wokRoJ2P1lBcwyQ","40.8213713","-73.9455112","US","NYC","CTR","SCH","351 W 141st St, New York, NY 10030, USA","us_nyc-c_sch_b_2","90","us_nyc-c_sch_b_2_90"
"trial","survey","64","1230646","0.0-2.0-62.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","28787","","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":5,""chaos"":3}","","","","","","","","","","","","","","","","","[]","Nearby location of Yonehara Shiritsu Yonehara Elementary School (jp_hik_sch_a_1)","ChIJHY8tRnsrAmARDrvbTNjR_tg","35.3153923","136.2799377","JP","HIK","HIK","SCH","Japan, 〒521-0011 Shiga, Maibara, Nakatara, ６０３−１ Sun Village 米原","jp_hik_sch_b_1","270","jp_hik_sch_b_1_270"
"trial","survey","65","1256187","0.0-2.0-63.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","25513","","{""P0_Q0"":null,""ambiguous"":5,""objects"":4,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","United States Postal Service","ChIJb5pfwxb2wokR4-EvJ1w0znA","40.8036447","-73.9541827","US","NYC","CTR","POS","232 W 116th St, New York, NY 10026, USA","us_nyc-c_pos_a_7","180","us_nyc-c_pos_a_7_180"
"trial","survey","66","1276686","0.0-2.0-64.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","20472","","{""P0_Q0"":null,""ambiguous"":3,""objects"":3,""invisible"":5,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Nearby location of Mitchell Elementary School (us_arb_sch_a_4)","ChIJs-axekGvPIgRBvxYNOm48Hc","42.2361096","-83.6952309","US","ARB","ARB","SCH","3318 Williamsburg Rd, Ann Arbor, MI 48108, USA","us_arb_sch_b_4","90","us_arb_sch_b_4_90"
"trial","survey","67","1293843","0.0-2.0-65.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","17131","","{""P0_Q0"":null,""ambiguous"":2,""objects"":5,""invisible"":4,""chaos"":1}","","","","","","","","","","","","","","","","","[]","United States Postal Service","ChIJESBBoWz2wokRc5NBjEpQTow","40.8112416","-73.9532884","US","NYC","CTR","POS","365 W 125th St Ste 2A, New York, NY 10027, USA","us_nyc-c_pos_a_1","90","us_nyc-c_pos_a_1_90"
"trial","survey","68","1320875","0.0-2.0-66.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","27009","","{""P0_Q0"":null,""ambiguous"":3,""objects"":3,""invisible"":3,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of United States Postal Service (us_chl_pos_a_1)","ChIJt-RJ963OPIgRV95g54XMslo","42.3073218","-84.0212878","US","CHL","CHL","POS","1070 S Main St, Chelsea, MI 48118, USA","us_chl_pos_b_1","90","us_chl_pos_b_1_90"
"trial","survey","69","1339352","0.0-2.0-67.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","18459","","{""P0_Q0"":null,""ambiguous"":4,""objects"":5,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of HOTEL ALLAMANDA AOYAMA (jp_tok-c_htl_a_high1)","ChIJBeIIXpyMGGARp8F4yBa84pg","35.6704599","139.7189166","JP","TOK","CTR","HTL","2-chōme-22-14 Minamiaoyama, Minato City, Tokyo 107-0062, Japan","jp_tok-c_htl_b_high1","270","jp_tok-c_htl_b_high1_270"
"trial","survey","70","1362431","0.0-2.0-68.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","23061","","{""P0_Q0"":null,""ambiguous"":3,""objects"":4,""invisible"":4,""chaos"":3}","","","","","","","","","","","","","","","","","[]","United States Postal Service","ChIJ2S39Rs6xPIgRFumqYMpJrTE","42.2709374","-83.7748696","US","ARB","ARB","POS","2075 W Stadium Blvd, Ann Arbor, MI 48103, USA","us_arb_pos_a_2","180","us_arb_pos_a_2_180"
"trial","survey","71","1380876","0.0-2.0-69.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","18428","","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":4,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Hotel Route-Inn Nagahama Inter","ChIJmQLsstAuAmARAC8tYd9WWwc","35.3970578","136.2947216","JP","TOR","TOR","HTL","Japan, 〒526-0804 Shiga, Nagahama, Kanōchō, 字上角田884-1","jp_tor_htl_a_low1","90","jp_tor_htl_a_low1_90"
"trial","survey","72","1396276","0.0-2.0-70.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","15383","","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":5,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Nearby location of Jonan Daini Elementary School (jp_tok-p_sch_a_5)","ChIJ2To8y2-KGGARuI3U_BCg3Sg","35.614051","139.744792","JP","TOK","PER","SCH","2-chōme-15-6 Minamishinagawa, Shinagawa City, Tokyo 140-0004, Japan","jp_tok-p_sch_b_5","270","jp_tok-p_sch_b_5_270"
"trial","survey","73","1416818","0.0-2.0-71.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","20525","","{""P0_Q0"":null,""ambiguous"":2,""objects"":4,""invisible"":3,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Hikoneatohoteru","ChIJcSdJDVfUA2ARZ1X1w0kURVw","35.2392938","136.255227","JP","HIK","HIK","HTL","1707-1 Takamiyachō, Hikone, Shiga 522-0201, Japan","jp_hik_htl_a_low1","0","jp_hik_htl_a_low1_0"
"trial","survey","74","1433171","0.0-2.0-72.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","16331","","{""P0_Q0"":null,""ambiguous"":3,""objects"":3,""invisible"":3,""chaos"":2}","","","","","","","","","","","","","","","","","[]","Torahime Post Office","ChIJAzu1m54oAmARzqXxALkD3FY","35.4195711","136.2622481","JP","TOR","TOR","POS","160-5 Gomura, Nagahama, Shiga 529-0141, Japan","jp_tor_pos_a_1","180","jp_tor_pos_a_1_180"
"trial","survey","75","1452516","0.0-2.0-73.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","19325","","{""P0_Q0"":null,""ambiguous"":3,""objects"":4,""invisible"":5,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Nearby location of The Westin Tokyo (jp_tok-p_htl_a_high2)","ChIJrVZsu8CLGGARMYSk3wOv6Fk","35.6401336","139.7167882","JP","TOK","PER","HTL","Japan, 〒141-0021 Tokyo, Shinagawa City, Kamiōsaki, 2-chōme−3−３０ イトーピア長者丸ＩＤＥＡ","jp_tok-p_htl_b_high2","0","jp_tok-p_htl_b_high2_0"
"trial","survey","76","1468783","0.0-2.0-74.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","16239","","{""P0_Q0"":null,""ambiguous"":4,""objects"":5,""invisible"":4,""chaos"":4}","","","","","","","","","","","","","","","","","[]","Adahi Sano Post Office","ChIJuYxTuuOPGGAREn1yJl24fbw","35.7864794","139.8411136","JP","HIK","HIK","POS","2-chōme-11-12 Sano, Adachi City, Tokyo 121-0053, Japan","jp_hik_pos_a_3","0","jp_hik_pos_a_3_0"
"trial","survey","77","1496575","0.0-2.0-75.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","27769","","{""P0_Q0"":null,""ambiguous"":2,""objects"":3,""invisible"":4,""chaos"":5}","","","","","","","","","","","","","","","","","[]","Nearby location of Days Inn by Wyndham Ann Arbor (us_arb_htl_a_low2)","ChIJMyKc2S2vPIgRmaoMJQDyUQ0","42.251289","-83.682438","US","ARB","ARB","HTL","2489 Gross Rd, Ann Arbor, MI 48108, USA","us_arb_htl_b_low2","0","us_arb_htl_b_low2_0"
"trial","survey","78","1529240","0.0-2.0-76.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","32637","","{""P0_Q0"":null,""ambiguous"":3,""objects"":1,""invisible"":4,""chaos"":1}","","","","","","","","","","","","","","","","","[]","Multicultural Academy","ChIJKdawbZOlPIgRLE8l7DLN_lo","42.20752","-83.700335","US","ARB","ARB","SCH","5550 Platt Rd, Ann Arbor, MI 48108, USA","us_arb_sch_a_3","180","us_arb_sch_a_3_180"
"demographics","survey-html-form","79","1547431","0.0-2.0-77.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","18184","","{""age"":""71"",""gender"":""female"",""gender-self-describe"":"""",""zipcode"":""60515""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"demographics","survey","80","1555427","0.0-2.0-78.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","7963","","{""P0_Q0"":null,""outsideUS"":""No"",""outsideUS_years"":""""}","","","","","","","","","","","","","","","","","[]","","","","","","","","","","","",""
"end-survey","survey-text","81","1675075","0.0-2.0-79.0","5e246a245e04db6e93e22666","625e209c10a247530e1c6964","625eeb1b7b42531cd287c9e7","4","119644","","{""Q0"":""I had to think twice when looking at an environment that seemed \""poor\"" to me, not to judge it as chaotic for that reason. Interesting study. Also I feel trees and plants are a bit chaotic in appearance, not orderly, by nature so sometimes included plant-heavy scenes as chaotic. Thanks and all the best with your research.""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
